Date,Close
5-Apr-16,758.57
4-Apr-16,765.12
1-Apr-16,769.67
31-Mar-16,762.90
30-Mar-16,768.34
29-Mar-16,765.89
28-Mar-16,753.28
24-Mar-16,754.84
23-Mar-16,757.56
22-Mar-16,760.05
21-Mar-16,762.16
18-Mar-16,755.41
17-Mar-16,758.48
16-Mar-16,757.36
15-Mar-16,750.57
14-Mar-16,750.24
11-Mar-16,744.87
10-Mar-16,732.17
9-Mar-16,725.41
8-Mar-16,713.53
7-Mar-16,712.80
4-Mar-16,730.22
3-Mar-16,731.59
2-Mar-16,739.48
1-Mar-16,742.17
29-Feb-16,717.22
26-Feb-16,724.86
25-Feb-16,729.12
24-Feb-16,720.90
23-Feb-16,717.29
22-Feb-16,729.05
19-Feb-16,722.11
18-Feb-16,717.51
17-Feb-16,731.97
16-Feb-16,717.64
12-Feb-16,706.89
11-Feb-16,706.36
10-Feb-16,706.85
9-Feb-16,701.02
8-Feb-16,704.16
5-Feb-16,703.76
4-Feb-16,730.03
3-Feb-16,749.38
2-Feb-16,780.91
1-Feb-16,770.77
29-Jan-16,761.35
28-Jan-16,748.30
27-Jan-16,717.58
26-Jan-16,733.79
25-Jan-16,733.62
22-Jan-16,745.46
21-Jan-16,726.67
20-Jan-16,718.56
19-Jan-16,719.08
15-Jan-16,710.49
14-Jan-16,731.39
13-Jan-16,719.57
12-Jan-16,745.34
11-Jan-16,733.07
8-Jan-16,730.91
7-Jan-16,741.00
6-Jan-16,759.33
5-Jan-16,761.53
4-Jan-16,759.44
31-Dec-15,778.01
30-Dec-15,790.30
29-Dec-15,793.96
28-Dec-15,782.24
24-Dec-15,765.84
23-Dec-15,768.51
22-Dec-15,767.13
21-Dec-15,760.80
18-Dec-15,756.85
17-Dec-15,769.83
16-Dec-15,776.59
15-Dec-15,760.09
14-Dec-15,762.54
11-Dec-15,750.42
10-Dec-15,760.04
9-Dec-15,762.55
8-Dec-15,775.14
7-Dec-15,772.99
4-Dec-15,779.21
3-Dec-15,768.20
2-Dec-15,777.85
1-Dec-15,783.79
30-Nov-15,762.85
27-Nov-15,771.97
25-Nov-15,769.26
24-Nov-15,769.63
23-Nov-15,776.70
20-Nov-15,777.00
19-Nov-15,759.94
18-Nov-15,760.01
17-Nov-15,745.98
16-Nov-15,750.42
13-Nov-15,740.07
12-Nov-15,756.53
11-Nov-15,765.25
10-Nov-15,758.26
9-Nov-15,754.77
6-Nov-15,761.60
5-Nov-15,760.67
4-Nov-15,755.31
3-Nov-15,748.82
2-Nov-15,747.74
30-Oct-15,737.39
29-Oct-15,744.85
28-Oct-15,736.92
27-Oct-15,732.82
26-Oct-15,731.12
23-Oct-15,719.33
22-Oct-15,681.14
21-Oct-15,671.80
20-Oct-15,680.00
19-Oct-15,699.95
16-Oct-15,695.32
15-Oct-15,693.02
14-Oct-15,680.41
13-Oct-15,683.17
12-Oct-15,676.43
8-Oct-15,667.00
7-Oct-15,670.00
6-Oct-15,671.64
5-Oct-15,671.68
2-Oct-15,656.99
1-Oct-15,642.00
30-Sep-15,638.37
29-Sep-15,622.61
28-Sep-15,624.25
25-Sep-15,640.15
24-Sep-15,654.91
23-Sep-15,653.29
22-Sep-15,653.20
21-Sep-15,666.98
18-Sep-15,660.92
17-Sep-15,671.67
16-Sep-15,665.52
15-Sep-15,665.07
14-Sep-15,652.47
11-Sep-15,655.30
10-Sep-15,651.08
9-Sep-15,643.41
8-Sep-15,643.88
4-Sep-15,628.96
3-Sep-15,637.05
2-Sep-15,644.91
1-Sep-15,629.56
31-Aug-15,647.82
28-Aug-15,659.69
27-Aug-15,667.96
26-Aug-15,659.74
25-Aug-15,612.47
24-Aug-15,618.11
21-Aug-15,644.03
20-Aug-15,679.48
19-Aug-15,694.04
18-Aug-15,688.73
17-Aug-15,694.11
14-Aug-15,689.37
13-Aug-15,686.51
12-Aug-15,691.47
11-Aug-15,690.30
10-Aug-15,663.14
7-Aug-15,664.39
6-Aug-15,670.15
5-Aug-15,673.29
4-Aug-15,661.28
3-Aug-15,664.72
31-Jul-15,657.50
30-Jul-15,664.56
29-Jul-15,661.43
28-Jul-15,659.66
27-Jul-15,658.27
24-Jul-15,654.77
23-Jul-15,674.73
22-Jul-15,695.10
21-Jul-15,695.35
20-Jul-15,692.84
17-Jul-15,699.62
16-Jul-15,601.78
15-Jul-15,583.96
14-Jul-15,584.18
13-Jul-15,571.73
10-Jul-15,556.11
9-Jul-15,544.65
8-Jul-15,541.70
7-Jul-15,550.03
6-Jul-15,545.62
2-Jul-15,547.34
1-Jul-15,543.30
30-Jun-15,540.04
29-Jun-15,541.25
26-Jun-15,553.06
25-Jun-15,557.95
24-Jun-15,558.57
23-Jun-15,563.39
22-Jun-15,559.68
19-Jun-15,557.52
18-Jun-15,556.18
17-Jun-15,546.60
16-Jun-15,544.87
15-Jun-15,543.00
12-Jun-15,547.47
11-Jun-15,550.04
10-Jun-15,552.60
9-Jun-15,542.16
8-Jun-15,543.48
5-Jun-15,549.53
4-Jun-15,551.69
3-Jun-15,555.29
2-Jun-15,553.95
1-Jun-15,549.21
29-May-15,545.32
28-May-15,554.18
27-May-15,554.25
26-May-15,547.19
22-May-15,554.52
21-May-15,556.81
20-May-15,552.51
19-May-15,549.28
18-May-15,546.67
15-May-15,546.49
14-May-15,549.20
13-May-15,539.49
12-May-15,538.73
11-May-15,545.78
8-May-15,548.95
7-May-15,542.04
6-May-15,535.08
5-May-15,543.04
4-May-15,552.84
1-May-15,551.16
30-Apr-15,548.77
29-Apr-15,561.39
28-Apr-15,564.37
27-Apr-15,566.12
24-Apr-15,573.66
23-Apr-15,557.46
22-Apr-15,549.18
21-Apr-15,542.92
20-Apr-15,544.53
17-Apr-15,532.74
16-Apr-15,543.52
15-Apr-15,541.04
14-Apr-15,539.78
13-Apr-15,548.64
10-Apr-15,548.54
9-Apr-15,548.02
8-Apr-15,548.84
